id;theme;soustheme;type;question;reponse
1191;Géographie;Capitales;ouverte;De quel pays Katmandou est-elle la capitale ?;Népal
1192;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Gabon est Kinshasa ?;Faux (c'est Libreville)
1193;Politique & Institutions;Chefs d'État & organisations;vrai/faux;Vrai ou faux : Organisation créée en 1949 pour la défense collective (sigle) — OTAN ?;Vrai
1194;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1776 ?;Déclaration d'indépendance des États-Unis
1195;Langue française & Linguistique;Mots, figures et étymologie;vrai/faux;Vrai ou faux : Académie française fondée en — 1635 ?;Vrai
1196;Transports & Explorations;Explorations & engins;ouverte;Autoroute maritime reliant Atlantique et Pacifique;Canal de Panama
1197;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1989 ?;Chute du mur de Berlin
1198;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Alexander Graham Bell ?;Téléphone
1199;Géographie;Capitales;ouverte;De quel pays Achgabat est-elle la capitale ?;Turkménistan
1200;Géographie;Capitales;ouverte;De quel pays Mexico est-elle la capitale ?;Mexique
1201;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Philippines est Phnom Penh ?;Faux (c'est Manille)
1202;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « Fallingwater » est de Frank Lloyd Wright ?;Vrai
1203;Philosophie & Pensée;Concepts clés;ouverte;Quel concept/ouvrage est lié à John Rawls ?;La justice comme équité
1204;Transports & Explorations;Explorations & engins;ouverte;Navire du premier tour du monde de Magellan;Victoria
1205;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Salvador Dalí ?;La Persistance de la mémoire
1206;Droit & Justice;Institutions & textes;vrai/faux;Vrai ou faux : Déclaration des droits de l'homme et du citoyen : année — 1789 ?;Vrai
1207;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « Composition avec rouge, jaune et bleu » ?;Piet Mondrian
1208;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1939 ?;Début de la Seconde Guerre mondiale
1209;Sport;Records & événements;vrai/faux;Vrai ou faux : Vainqueur de la Coupe du monde 1998 — France ?;Vrai
1210;Économie & Finance;Concepts & crises;vrai/faux;Vrai ou faux : Monnaie unique de la zone euro — Euro ?;Vrai
1211;Droit & Justice;Institutions & textes;ouverte;Document qui interdit la torture et les traitements inhumains (ONU, 1984);Convention contre la torture
1212;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Kirghizistan est Khartoum ?;Faux (c'est Bichkek)
1213;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Chute de Constantinople ?;1453
1214;Géographie;Capitales;ouverte;Quelle est la capitale de France ?;Paris
1215;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Four à micro-ondes est associé(e) à Percy Spencer ?;Vrai
1216;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « La Promesse de l'aube » est de Romain Gary ?;Vrai
1217;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Magna Carta signée en Angleterre ?;1215
1218;Médecine & Corps humain;Anatomie/Soins;vrai/faux;Vrai ou faux : Nom scientifique du globule rouge — Érythrocyte ?;Vrai
1219;Géographie;Capitales;ouverte;Quelle est la capitale de Nouvelle-Zélande ?;Wellington
1220;Transports & Explorations;Explorations & engins;ouverte;Premier satellite artificiel;Spoutnik 1
1221;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Ubik » est de Philip K. Dick ?;Vrai
1222;Chronologies & Premières fois;Pionniers & records;ouverte;Premier message envoyé sur ARPANET;LOGIN
1223;Géographie;Capitales;ouverte;Quelle est la capitale de Barbade ?;Bridgetown
1224;Nature & Environnement;Faune, flore et climat;vrai/faux;Vrai ou faux : Processus par lequel les plantes produisent du sucre — Photosynthèse ?;Vrai
1225;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 476 ?;Chute de l'Empire romain d'Occident
1226;Chronologies & Premières fois;Pionniers & records;ouverte;Première greffe de cœur humaine;1967
1227;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1948 ?;Déclaration universelle des droits de l'homme
1228;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Patrick Modiano ?;Rue des Boutiques Obscures
1229;Histoire;Dates clés;vrai/faux;Vrai ou faux : Prise de la Bastille a eu lieu en 1789 ?;Vrai
1230;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : Gilles Deleuze est lié à Le rhizome ?;Vrai
1231;Histoire;Dates clés;vrai/faux;Vrai ou faux : Première croisade a eu lieu en 1099 ?;Vrai
1232;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Jamaïque est Pretoria ?;Faux (c'est Kingston)
1233;Cinéma & Séries;Films, prix, répliques;vrai/faux;Vrai ou faux : Acteur interprétant Iron Man dans le MCU — Robert Downey Jr. ?;Vrai
1234;Théâtre & Danse;Pièces, opéras, ballets;ouverte;Ballet 'Le Lac des cygnes' compositeur;Tchaïkovski
1235;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Lettonie est Budapest ?;Faux (c'est Riga)
1236;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Astérix le Gaulois » ?;René Goscinny
1237;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Don Quichotte » ?;Miguel de Cervantès
1238;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Cameroun est Bakou ?;Faux (c'est Yaoundé)
1239;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : Sequençage du génome humain ?;Projet génome humain
1240;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Alexander Fleming ?;Pénicilline
1241;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de France est Ljubljana ?;Faux (c'est Paris)
1242;Cinéma & Séries;Films, prix, répliques;ouverte;Acteur interprétant Iron Man dans le MCU;Robert Downey Jr.
1243;Droit & Justice;Institutions & textes;ouverte;Procès de Nuremberg : période;1945-1946
1244;Géographie;Capitales;ouverte;De quel pays Abou Dabi est-elle la capitale ?;Émirats arabes unis
1245;Chronologies & Premières fois;Pionniers & records;vrai/faux;Vrai ou faux : Première femme à remporter Roland-Garros (1925) — Suzanne Lenglen ?;Vrai
1246;Technologies du quotidien;Objets & internet;vrai/faux;Vrai ou faux : Réseau d'objets connectés en anglais — Internet of Things ?;Vrai
1247;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Patrick Süskind ?;Le Parfum
1248;Cinéma & Séries;Films, prix, répliques;vrai/faux;Vrai ou faux : Film d'animation japonais de Miyazaki sur une princesse et les esprits — Princesse Mononoké ?;Vrai
1249;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : John Rawls est lié à La justice comme équité ?;Vrai
1250;Cinéma & Séries;Films, prix, répliques;vrai/faux;Vrai ou faux : Premier long métrage parlant (1927) — Le Chanteur de jazz ?;Vrai
1251;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Vincent van Gogh ?;La Nuit étoilée
1252;Gastronomie;Plats & produits;vrai/faux;Vrai ou faux : Fromage à pâte persillée d'Auvergne — Roquefort ?;Vrai
1253;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 2020 ?;Pandémie de COVID-19 déclarée par l'OMS
1254;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « La Joconde » ?;Leonard de Vinci
1255;Sport;Records & événements;vrai/faux;Vrai ou faux : Jeu d'échecs : nombre de cases du plateau — 64 ?;Vrai
1256;Géographie;Capitales;vrai/faux;Vrai ou faux : San José est la capitale de Costa Rica ?;Vrai
1257;Géographie;Capitales;vrai/faux;Vrai ou faux : Moscou est la capitale de Russie ?;Vrai
1258;Nature & Environnement;Faune, flore et climat;ouverte;Biome caractérisé par un sol gelé en permanence;Pergélisol (permafrost)
1259;Sport;Records & événements;vrai/faux;Vrai ou faux : Nombre de joueurs sur le terrain en équipe de rugby à XV — 15 ?;Vrai
1260;Géographie;Capitales;ouverte;De quel pays Pretoria est-elle la capitale ?;Afrique du Sud
1261;Société & Médias;Réseaux, slogans, démographie;vrai/faux;Vrai ou faux : Série de comics 'Spider-Man' publiée par — Marvel ?;Vrai
1262;Nature & Environnement;Faune, flore et climat;ouverte;Espèce d'ours menacée en Chine;Panda géant
1263;Géographie;Capitales;ouverte;Quelle est la capitale de Finlande ?;Helsinki
1264;Histoire;Dates clés;vrai/faux;Vrai ou faux : Mai 68 en France a eu lieu en 1968 ?;Vrai
1265;Chronologies & Premières fois;Pionniers & records;ouverte;Première femme à remporter Roland-Garros (1925);Suzanne Lenglen
1266;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Khaled Hosseini ?;Les Cerfs-volants de Kaboul
1267;Philosophie & Pensée;Concepts clés;ouverte;Quel concept/ouvrage est lié à Jürgen Habermas ?;L'agir communicationnel
1268;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Émile Zola ?;Germinal
1269;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Mongolie est Mascate ?;Faux (c'est Oulan-Bator)
1270;Géographie;Capitales;vrai/faux;Vrai ou faux : Riga est la capitale de Lettonie ?;Vrai
1271;Chronologies & Premières fois;Pionniers & records;vrai/faux;Vrai ou faux : Premier ordinateur personnel grand public d'Apple — Apple II (1977) ?;Vrai
1272;Histoire;Dates clés;vrai/faux;Vrai ou faux : Indépendance de l'Inde a eu lieu en 1947 ?;Vrai
1273;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Impasse des deux palais » est de Naguib Mahfouz ?;Vrai
1274;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Burkina Faso est Bakou ?;Faux (c'est Ouagadougou)
1275;Géographie;Capitales;ouverte;Quelle est la capitale de Norvège ?;Oslo
1276;Géographie;Capitales;ouverte;Quelle est la capitale de Angola ?;Luanda
1277;Géographie;Capitales;vrai/faux;Vrai ou faux : Gaborone est la capitale de Botswana ?;Vrai
1278;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Découverte de l'Amérique par Christophe Colomb ?;1492
1279;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Albert Camus ?;L'Étranger
1280;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « Jimson Weed » est de Georgia O'Keeffe ?;Vrai
1281;Géographie;Capitales;ouverte;Quelle est la capitale de Congo ?;Brazzaville
1282;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Mozambique est Reykjavik ?;Faux (c'est Maputo)
1283;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « Le Penseur » est de Auguste Rodin ?;Vrai
1284;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Russie est Koweït ?;Faux (c'est Moscou)
1285;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « La Peste » est de Albert Camus ?;Vrai
1286;Géographie;Capitales;ouverte;De quel pays San José est-elle la capitale ?;Costa Rica
1287;Géographie;Capitales;vrai/faux;Vrai ou faux : Vientiane est la capitale de Laos ?;Vrai
1288;Géographie;Capitales;vrai/faux;Vrai ou faux : Beyrouth est la capitale de Liban ?;Vrai
1289;Géographie;Capitales;ouverte;Quelle est la capitale de Érythrée ?;Asmara
1290;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Vingt mille lieues sous les mers » est de Jules Verne ?;Vrai
1291;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1969 ?;Premier pas sur la Lune
1292;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Afrique du Sud est Vilnius ?;Faux (c'est Pretoria)
1293;Géographie;Capitales;vrai/faux;Vrai ou faux : Oslo est la capitale de Norvège ?;Vrai
1294;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « La Guerre des mondes » ?;H. G. Wells
1295;Géographie;Capitales;vrai/faux;Vrai ou faux : Port Moresby est la capitale de Papouasie-Nouvelle-Guinée ?;Vrai
1296;Géographie;Capitales;ouverte;Quelle est la capitale de Malaisie ?;Kuala Lumpur
1297;Transports & Explorations;Explorations & engins;vrai/faux;Vrai ou faux : Aéronef géant allemand des années 1930 — Zeppelin ?;Vrai
1298;Géographie;Capitales;ouverte;Quelle est la capitale de Thaïlande ?;Bangkok
1299;Musique;Œuvres, genres, artistes;vrai/faux;Vrai ou faux : Festival de musique de Woodstock (année) — 1969 ?;Vrai
1300;Transports & Explorations;Explorations & engins;vrai/faux;Vrai ou faux : Première femme dans l'espace — Valentina Terechkova ?;Vrai
1301;Médecine & Corps humain;Anatomie/Soins;ouverte;Os le plus long du corps humain;Le fémur
1302;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Le Tartuffe » ?;Molière
1303;Géographie;Capitales;vrai/faux;Vrai ou faux : Asuncion est la capitale de Paraguay ?;Vrai
1304;Chronologies & Premières fois;Pionniers & records;vrai/faux;Vrai ou faux : Première femme prix Nobel de physique — Marie Curie ?;Vrai
1305;Géographie;Capitales;vrai/faux;Vrai ou faux : Dodoma est la capitale de Tanzanie ?;Vrai
1306;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Candide » est de Voltaire ?;Vrai
1307;Langue française & Linguistique;Mots, figures et étymologie;ouverte;Mot français signifiant littéralement 'apéritif dînatoire' en anglais;Potluck
1308;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Miguel de Cervantès ?;Don Quichotte
1309;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Prise de la Bastille ?;1789
1310;Géographie;Capitales;ouverte;De quel pays Varsovie est-elle la capitale ?;Pologne
1311;Géographie;Capitales;ouverte;De quel pays Bridgetown est-elle la capitale ?;Barbade
1312;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Tintin au Tibet » ?;Hergé
1313;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Népal est Managua ?;Faux (c'est Katmandou)
1314;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : IRM (imagerie par résonance magnétique) est associé(e) à Damadian, Lauterbur, Mansfield ?;Vrai
1315;Sport;Records & événements;ouverte;Club ayant gagné le plus de Ligues des champions;Real Madrid
1316;Nature & Environnement;Faune, flore et climat;vrai/faux;Vrai ou faux : Cycle naturel de l'eau s'appelle — Cycle hydrologique ?;Vrai
1317;Géographie;Capitales;ouverte;De quel pays Ankara est-elle la capitale ?;Turquie
1318;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : Velcro ?;George de Mestral
1319;Géographie;Capitales;ouverte;De quel pays Thimphou est-elle la capitale ?;Bhoutan
1320;Chronologies & Premières fois;Pionniers & records;ouverte;Première femme prix Nobel de physique;Marie Curie
1321;Géographie;Capitales;ouverte;De quel pays Tegucigalpa est-elle la capitale ?;Honduras
1322;Nature & Environnement;Faune, flore et climat;vrai/faux;Vrai ou faux : Nom du phénomène inverse de l'acidification des océans — Alcalinisation (ou augmentation du pH) ?;Vrai
1323;Médecine & Corps humain;Anatomie/Soins;ouverte;Nombre de chromosomes chez l'humain;46
1324;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Maya Angelou ?;Je sais pourquoi chante l'oiseau en cage
1325;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : IRM (imagerie par résonance magnétique) ?;Damadian, Lauterbur, Mansfield
1326;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « La Persistance de la mémoire » ?;Salvador Dalí
1327;Géographie;Capitales;vrai/faux;Vrai ou faux : Hanoï est la capitale de Vietnam ?;Vrai
1328;Géographie;Capitales;ouverte;Quelle est la capitale de Syrie ?;Damas
1329;Économie & Finance;Concepts & crises;ouverte;Théorie de la 'main invisible';Adam Smith
1330;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Trinité-et-Tobago est Ankara ?;Faux (c'est Port of Spain)
1331;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1979 ?;Révolution iranienne
1332;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Allemagne est Luxembourg ?;Faux (c'est Berlin)
1333;Géographie;Capitales;vrai/faux;Vrai ou faux : Prague est la capitale de Tchéquie ?;Vrai
1334;Géographie;Capitales;vrai/faux;Vrai ou faux : Manama est la capitale de Bahreïn ?;Vrai
1335;Culture populaire;BD, mangas, jeux vidéo;vrai/faux;Vrai ou faux : Héroïne de la franchise 'The Legend of Zelda' — Zelda ?;Vrai
1336;Musique;Œuvres, genres, artistes;vrai/faux;Vrai ou faux : Chanteur de 'Ne me quitte pas' — Jacques Brel ?;Vrai
1337;Géographie;Capitales;ouverte;De quel pays Lima est-elle la capitale ?;Pérou
1338;Géographie;Capitales;ouverte;Quelle est la capitale de Bulgarie ?;Sofia
1339;Géographie;Capitales;vrai/faux;Vrai ou faux : Djibouti est la capitale de Djibouti ?;Vrai
1340;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : Le Léviathan ?;Thomas Hobbes
1341;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : Martin Heidegger est lié à L'Être et le Temps ?;Vrai
1342;Géographie;Capitales;ouverte;Quelle est la capitale de Jordanie ?;Amman
1343;Musique;Œuvres, genres, artistes;ouverte;Chanteur de 'Ne me quitte pas';Jacques Brel
1344;Géographie;Capitales;ouverte;Quelle est la capitale de Éthiopie ?;Addis-Abeba
1345;Histoire;Dates clés;vrai/faux;Vrai ou faux : Introduction de l'euro fiduciaire a eu lieu en 2002 ?;Vrai
1346;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Tanzanie est Bratislava ?;Faux (c'est Dodoma)
1347;Cinéma & Séries;Films, prix, répliques;ouverte;Actrice oscarisée pour 'La Môme';Marion Cotillard
1348;Géographie;Capitales;ouverte;De quel pays Tachkent est-elle la capitale ?;Ouzbékistan
1349;Géographie;Capitales;ouverte;De quel pays Sanaa est-elle la capitale ?;Yémen
1350;Géographie;Capitales;vrai/faux;Vrai ou faux : Bangkok est la capitale de Thaïlande ?;Vrai
1351;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Theodore Maiman ?;Laser
1352;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Panama est Kiev ?;Faux (c'est Panama)
1353;Géographie;Capitales;ouverte;Quelle est la capitale de El Salvador ?;San Salvador
1354;Géographie;Capitales;ouverte;De quel pays Amman est-elle la capitale ?;Jordanie
1355;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Japon est Jérusalem ?;Faux (c'est Tokyo)
1356;Géographie;Capitales;ouverte;Quelle est la capitale de Uruguay ?;Montevideo
1357;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Première croisade ?;1099
1358;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : Cœur artificiel ?;Robert Jarvik
1359;Géographie;Capitales;ouverte;Quelle est la capitale de Portugal ?;Lisbonne
1360;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Moteur à explosion est associé(e) à Étienne Lenoir ?;Vrai
1361;Droit & Justice;Institutions & textes;vrai/faux;Vrai ou faux : Organisation européenne des droits de l'homme (sigle) — CEDH ?;Vrai
1362;Cinéma & Séries;Films, prix, répliques;ouverte;Oscar posthume pour le Joker (2008);Heath Ledger
1363;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Peste noire en Europe ?;1347
1364;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Chuck Hull ?;Imprimante 3D
1365;Politique & Institutions;Chefs d'État & organisations;ouverte;Nombre de membres permanents au Conseil de sécurité de l'ONU;5
1366;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Cambodge est Vientiane ?;Faux (c'est Phnom Penh)
1367;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Turkménistan est Hanoï ?;Faux (c'est Achgabat)
1368;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « 1984 » est de George Orwell ?;Vrai
1369;Géographie;Capitales;ouverte;Quelle est la capitale de Soudan ?;Khartoum
1370;Langue française & Linguistique;Mots, figures et étymologie;vrai/faux;Vrai ou faux : Anglicisme pour 'brunch' signifie — Petit-déjeuner + déjeuner ?;Vrai
1371;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Madame Bovary » est de Gustave Flaubert ?;Vrai
1372;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Chine est Mexico ?;Faux (c'est Pékin)
1373;Société & Médias;Réseaux, slogans, démographie;ouverte;Nombre approximatif d'habitants sur Terre (2023);8 milliards
1374;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : Le rhizome ?;Gilles Deleuze
1375;Géographie;Capitales;ouverte;Quelle est la capitale de Rwanda ?;Kigali
1376;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : CRISPR-Cas9 est associé(e) à Jennifer Doudna et Emmanuelle Charpentier ?;Vrai
1377;Géographie;Capitales;vrai/faux;Vrai ou faux : Chisinau est la capitale de Moldavie ?;Vrai
1378;Géographie;Capitales;ouverte;Quelle est la capitale de Bolivie ?;La Paz
1379;Médecine & Corps humain;Anatomie/Soins;vrai/faux;Vrai ou faux : Organe qui produit la bile — Le foie ?;Vrai
1380;Musique;Œuvres, genres, artistes;ouverte;Instrument à 88 touches;Piano
1381;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Andy Warhol ?;Marilyn Diptych
1382;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Portugal est Guatemala ?;Faux (c'est Lisbonne)
1383;Géographie;Capitales;ouverte;Quelle est la capitale de Moldavie ?;Chisinau
1384;Société & Médias;Réseaux, slogans, démographie;ouverte;Premier journal quotidien français;La Presse (1836)
1385;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « Number 1A » est de Jackson Pollock ?;Vrai
1386;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1099 ?;Première croisade
1387;Économie & Finance;Concepts & crises;vrai/faux;Vrai ou faux : Pays ayant connu l'hyperinflation en 1923 — Allemagne ?;Vrai
1388;Politique & Institutions;Chefs d'État & organisations;vrai/faux;Vrai ou faux : Régime politique où le pouvoir est détenu par le peuple — Démocratie ?;Vrai
1389;Géographie;Capitales;ouverte;Quelle est la capitale de Chine ?;Pékin
1390;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Le Nom de la rose » est de Umberto Eco ?;Vrai
1391;Gastronomie;Plats & produits;vrai/faux;Vrai ou faux : Cuisine indienne : pain plat cuit au tandoor — Naan ?;Vrai
1392;Géographie;Capitales;ouverte;Quelle est la capitale de Tunisie ?;Tunis
1393;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Commune de Paris ?;1871
1394;Nature & Environnement;Faune, flore et climat;vrai/faux;Vrai ou faux : Nom scientifique de l'espèce humaine — Homo sapiens ?;Vrai
1395;Géographie;Capitales;vrai/faux;Vrai ou faux : Addis-Abeba est la capitale de Éthiopie ?;Vrai
1396;Géographie;Capitales;vrai/faux;Vrai ou faux : Bagdad est la capitale de Irak ?;Vrai
1397;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1914 ?;Début de la Première Guerre mondiale
1398;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Albert Einstein ?;Relativité restreinte
1399;Médecine & Corps humain;Anatomie/Soins;vrai/faux;Vrai ou faux : Maladie causée par le VIH — Le SIDA ?;Vrai
1400;Sport;Records & événements;vrai/faux;Vrai ou faux : Sport pratiqué par Michael Phelps — Natation ?;Vrai
1401;Nature & Environnement;Faune, flore et climat;ouverte;Plus long fleuve du monde;Nil
1402;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Fahrenheit 451 » est de Ray Bradbury ?;Vrai
1403;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de États-Unis est Mascate ?;Faux (c'est Washington)
1404;Musique;Œuvres, genres, artistes;ouverte;Album 'The Dark Side of the Moon';Pink Floyd
1405;Géographie;Capitales;ouverte;De quel pays Kiev est-elle la capitale ?;Ukraine
1406;Sport;Records & événements;vrai/faux;Vrai ou faux : Nom du trophée du vainqueur du Tour de France — Maillot jaune ?;Vrai
1407;Sport;Records & événements;vrai/faux;Vrai ou faux : Record du 100 m masculin (9,58 s) — Usain Bolt ?;Vrai
1408;Géographie;Capitales;ouverte;Quelle est la capitale de Soudan du Sud ?;Djouba
1409;Médecine & Corps humain;Anatomie/Soins;ouverte;Nom de la bactérie de la tuberculose;Mycobacterium tuberculosis
1410;Géographie;Capitales;ouverte;De quel pays Port-au-Prince est-elle la capitale ?;Haïti
1411;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Fables » ?;Jean de La Fontaine
1412;Géographie;Capitales;ouverte;De quel pays Rabat est-elle la capitale ?;Maroc
1413;Nature & Environnement;Faune, flore et climat;ouverte;Stratégie 'zéro déchet' vise à;Réduire drastiquement la production de déchets
1414;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Estonie est Ouagadougou ?;Faux (c'est Tallinn)
1415;Sport;Records & événements;ouverte;Lieu du Super Bowl LIII (2019);Atlanta
1416;Géographie;Capitales;ouverte;Quelle est la capitale de Lettonie ?;Riga
1417;Géographie;Capitales;ouverte;Quelle est la capitale de Côte d'Ivoire ?;Yamoussoukro
1418;Géographie;Capitales;ouverte;Quelle est la capitale de États-Unis ?;Washington
1419;Philosophie & Pensée;Concepts clés;ouverte;Quel concept/ouvrage est lié à Pierre Bourdieu ?;L'habitus
1420;Géographie;Capitales;ouverte;Quelle est la capitale de Slovénie ?;Ljubljana
1421;Géographie;Capitales;vrai/faux;Vrai ou faux : Phnom Penh est la capitale de Cambodge ?;Vrai
1422;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : Cinématographe ?;Frères Lumière
1423;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : Zénon de Citium est lié à Le stoïcisme ?;Vrai
1424;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « Pyramide du Louvre » ?;Ieoh Ming Pei
1425;Sport;Records & événements;ouverte;Score parfait au bowling;300
1426;Géographie;Capitales;vrai/faux;Vrai ou faux : Bucarest est la capitale de Roumanie ?;Vrai
1427;Géographie;Capitales;ouverte;De quel pays Ljubljana est-elle la capitale ?;Slovénie
1428;Histoire;Dates clés;vrai/faux;Vrai ou faux : Abolition de l'esclavage aux États-Unis a eu lieu en 1865 ?;Vrai
1429;Chronologies & Premières fois;Pionniers & records;vrai/faux;Vrai ou faux : Première greffe de cœur humaine — 1967 ?;Vrai
1430;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Microprocesseur est associé(e) à Intel (Ted Hoff) ?;Vrai
1431;Sport;Records & événements;ouverte;Vainqueur de la Coupe du monde 1998;France
1432;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Slovénie est La Valette ?;Faux (c'est Ljubljana)
1433;Géographie;Capitales;ouverte;De quel pays Harare est-elle la capitale ?;Zimbabwe
1434;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Baptême de Clovis ?;496
1435;Géographie;Capitales;ouverte;Quelle est la capitale de Niger ?;Niamey
1436;Géographie;Capitales;ouverte;De quel pays Bangkok est-elle la capitale ?;Thaïlande
1437;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : Søren Kierkegaard est lié à L'angoisse existentielle ?;Vrai
1438;Nature & Environnement;Faune, flore et climat;vrai/faux;Vrai ou faux : Parc national emblématique américain créé en 1872 — Yellowstone ?;Vrai
