id;theme;soustheme;type;question;reponse
851;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1347 ?;Peste noire en Europe
852;Géographie;Capitales;vrai/faux;Vrai ou faux : Nairobi est la capitale de Kenya ?;Vrai
853;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Albert Camus ?;La Peste
854;Société & Médias;Réseaux, slogans, démographie;vrai/faux;Vrai ou faux : Plateforme de microblogging créée en 2006 — Twitter ?;Vrai
855;Géographie;Capitales;ouverte;De quel pays Sarajevo est-elle la capitale ?;Bosnie-Herzégovine
856;Géographie;Capitales;vrai/faux;Vrai ou faux : Kingston est la capitale de Jamaïque ?;Vrai
857;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « Fallingwater » ?;Frank Lloyd Wright
858;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Maldives est Helsinki ?;Faux (c'est Malé)
859;Géographie;Capitales;ouverte;Quelle est la capitale de Ouzbékistan ?;Tachkent
860;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Romain Gary ?;La Promesse de l'aube
861;Géographie;Capitales;ouverte;Quelle est la capitale de Biélorussie ?;Minsk
862;Musique;Œuvres, genres, artistes;ouverte;Roi de la pop;Michael Jackson
863;Géographie;Capitales;vrai/faux;Vrai ou faux : Stockholm est la capitale de Suède ?;Vrai
864;Nature & Environnement;Faune, flore et climat;ouverte;Plus grand désert chaud du monde;Sahara
865;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1871 ?;Commune de Paris
866;Géographie;Capitales;vrai/faux;Vrai ou faux : Douchanbé est la capitale de Tadjikistan ?;Vrai
867;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Turquie est La Paz ?;Faux (c'est Ankara)
868;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Soudan est Zagreb ?;Faux (c'est Khartoum)
869;Géographie;Capitales;vrai/faux;Vrai ou faux : Brazzaville est la capitale de Congo ?;Vrai
870;Géographie;Capitales;vrai/faux;Vrai ou faux : Reykjavik est la capitale de Islande ?;Vrai
871;Culture populaire;BD, mangas, jeux vidéo;ouverte;Héroïne de la franchise 'The Legend of Zelda';Zelda
872;Langue française & Linguistique;Mots, figures et étymologie;vrai/faux;Vrai ou faux : Langue la plus parlée au monde (locuteurs natifs) — Mandarin ?;Vrai
873;Médecine & Corps humain;Anatomie/Soins;vrai/faux;Vrai ou faux : Plus grand organe du corps humain — La peau ?;Vrai
874;Médecine & Corps humain;Anatomie/Soins;ouverte;Médecin grec considéré comme le père de la médecine;Hippocrate
875;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : L'altruisme efficace ?;Peter Singer
876;Géographie;Capitales;ouverte;Quelle est la capitale de Pérou ?;Lima
877;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « Pyramide du Louvre » est de Ieoh Ming Pei ?;Vrai
878;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : Microprocesseur ?;Intel (Ted Hoff)
879;Technologies du quotidien;Objets & internet;vrai/faux;Vrai ou faux : Application qui a popularisé les vidéos courtes verticales — TikTok ?;Vrai
880;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Clé USB est associé(e) à Dov Moran (M-Systems) ?;Vrai
881;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Pakistan est Ouagadougou ?;Faux (c'est Islamabad)
882;Sport;Records & événements;vrai/faux;Vrai ou faux : Tennis : « GOAT » aux 24 titres du Grand Chelem — Novak Djokovic ?;Vrai
883;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : Post-it ?;Art Fry
884;Géographie;Capitales;ouverte;De quel pays Sofia est-elle la capitale ?;Bulgarie
885;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « Carré noir » ?;Kazimir Malevitch
886;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Fiodor Dostoïevski ?;Crime et Châtiment
887;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1919 ?;Traité de Versailles
888;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « La Nuit étoilée » est de Vincent van Gogh ?;Vrai
889;Théâtre & Danse;Pièces, opéras, ballets;vrai/faux;Vrai ou faux : Auteur de 'Phèdre' — Jean Racine ?;Vrai
890;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Sri Lanka est Astana ?;Faux (c'est Colombo)
891;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « Jimson Weed » ?;Georgia O'Keeffe
892;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : World Wide Web est associé(e) à Tim Berners-Lee ?;Vrai
893;Géographie;Capitales;vrai/faux;Vrai ou faux : Dublin est la capitale de Irlande ?;Vrai
894;Géographie;Capitales;ouverte;Quelle est la capitale de Corée du Nord ?;Pyongyang
895;Géographie;Capitales;ouverte;De quel pays Skopje est-elle la capitale ?;Macédoine du Nord
896;Musique;Œuvres, genres, artistes;vrai/faux;Vrai ou faux : Groupe de 'Smells Like Teen Spirit' — Nirvana ?;Vrai
897;Culture populaire;BD, mangas, jeux vidéo;ouverte;Jeu vidéo le plus vendu de tous les temps (2024);Minecraft
898;Théâtre & Danse;Pièces, opéras, ballets;ouverte;Ballet russe créé par Diaghilev en 1913;Le Sacre du printemps
899;Géographie;Capitales;ouverte;De quel pays Malé est-elle la capitale ?;Maldives
900;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Argentine est Oulan-Bator ?;Faux (c'est Buenos Aires)
901;Géographie;Capitales;ouverte;De quel pays Abuja est-elle la capitale ?;Nigeria
902;Géographie;Capitales;ouverte;Quelle est la capitale de Guatemala ?;Guatemala
903;Économie & Finance;Concepts & crises;ouverte;Indice boursier phare de la France;CAC 40
904;Culture populaire;BD, mangas, jeux vidéo;vrai/faux;Vrai ou faux : Super-héros possédant un marteau nommé Mjölnir — Thor ?;Vrai
905;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Le Crime de l'Orient-Express » est de Agatha Christie ?;Vrai
906;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Photographie est associé(e) à Nicéphore Niépce ?;Vrai
907;Géographie;Capitales;ouverte;De quel pays Islamabad est-elle la capitale ?;Pakistan
908;Nature & Environnement;Faune, flore et climat;vrai/faux;Vrai ou faux : Jour de dépassement (Overshoot Day) mesure quoi ? — La date où l'humanité a consommé les ressources annuelles de la Terre ?;Vrai
909;Géographie;Capitales;ouverte;De quel pays Damas est-elle la capitale ?;Syrie
910;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Le Petit Prince » ?;Antoine de Saint-Exupéry
911;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Azerbaïdjan est Naypyidaw ?;Faux (c'est Bakou)
912;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : Le stoïcisme ?;Zénon de Citium
913;Théâtre & Danse;Pièces, opéras, ballets;ouverte;Danse traditionnelle argentine en couple;Tango
914;Médecine & Corps humain;Anatomie/Soins;vrai/faux;Vrai ou faux : Nom de la maladie de la vache folle — Encéphalopathie spongiforme bovine ?;Vrai
915;Économie & Finance;Concepts & crises;vrai/faux;Vrai ou faux : Accord commercial nord-américain, sigle — ALENA ?;Vrai
916;Philosophie & Pensée;Concepts clés;ouverte;Quel concept/ouvrage est lié à Peter Singer ?;L'altruisme efficace
917;Géographie;Capitales;ouverte;Quelle est la capitale de Colombie ?;Bogota
918;Droit & Justice;Institutions & textes;ouverte;Traité garantissant la protection des réfugiés (ONU);Convention de Genève de 1951
919;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Pandémie de COVID-19 déclarée par l'OMS ?;2020
920;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Le Petit Prince » est de Antoine de Saint-Exupéry ?;Vrai
921;Géographie;Capitales;ouverte;Quelle est la capitale de Israël ?;Jérusalem
922;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Frankenstein » ?;Mary Shelley
923;Géographie;Capitales;vrai/faux;Vrai ou faux : Sarajevo est la capitale de Bosnie-Herzégovine ?;Vrai
924;Nature & Environnement;Faune, flore et climat;vrai/faux;Vrai ou faux : Gaz à effet de serre le plus abondant — CO2 ?;Vrai
925;Géographie;Capitales;ouverte;De quel pays Bogota est-elle la capitale ?;Colombie
926;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Le Père Goriot » est de Honoré de Balzac ?;Vrai
927;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Bosnie-Herzégovine est Managua ?;Faux (c'est Sarajevo)
928;Cinéma & Séries;Films, prix, répliques;vrai/faux;Vrai ou faux : Film culte français avec la réplique 'On n'est pas bien là?' — Les Bronzés font du ski ?;Vrai
929;Technologies du quotidien;Objets & internet;vrai/faux;Vrai ou faux : Entreprise créatrice d'Alexa — Amazon ?;Vrai
930;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Frères Lumière ?;Cinématographe
931;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Cinématographe est associé(e) à Frères Lumière ?;Vrai
932;Géographie;Capitales;ouverte;Quelle est la capitale de Botswana ?;Gaborone
933;Musique;Œuvres, genres, artistes;vrai/faux;Vrai ou faux : Roi de la pop — Michael Jackson ?;Vrai
934;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : Baruch Spinoza est lié à L'éthique ?;Vrai
935;Musique;Œuvres, genres, artistes;ouverte;Compositeur de la 9e symphonie 'Choral';Ludwig van Beethoven
936;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Koweït est Yamoussoukro ?;Faux (c'est Koweït)
937;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Harry Potter à l'école des sorciers » ?;J. K. Rowling
938;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Ouganda est Oslo ?;Faux (c'est Kampala)
939;Géographie;Capitales;ouverte;Quelle est la capitale de Australie ?;Canberra
940;Cinéma & Séries;Films, prix, répliques;vrai/faux;Vrai ou faux : Réalisateur de 'Inception' — Christopher Nolan ?;Vrai
941;Droit & Justice;Institutions & textes;vrai/faux;Vrai ou faux : Procès de Nuremberg : période — 1945-1946 ?;Vrai
942;Musique;Œuvres, genres, artistes;ouverte;Guitare à double manche : guitariste de Led Zeppelin;Jimmy Page
943;Géographie;Capitales;ouverte;De quel pays Dakar est-elle la capitale ?;Sénégal
944;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Géorgie est Zagreb ?;Faux (c'est Tbilissi)
945;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Premier pas sur la Lune ?;1969
946;Philosophie & Pensée;Concepts clés;ouverte;Quel concept/ouvrage est lié à Epicure ?;L'ataraxie
947;Gastronomie;Plats & produits;ouverte;Spécialité lyonnaise de charcuterie;Saucisson brioché
948;Histoire;Dates clés;vrai/faux;Vrai ou faux : Pandémie de COVID-19 déclarée par l'OMS a eu lieu en 2020 ?;Vrai
949;Géographie;Capitales;vrai/faux;Vrai ou faux : Kinshasa est la capitale de République démocratique du Congo ?;Vrai
950;Géographie;Capitales;vrai/faux;Vrai ou faux : Managua est la capitale de Nicaragua ?;Vrai
951;Sport;Records & événements;ouverte;Capitale des JO d'été 2012;Londres
952;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Slovaquie est Islamabad ?;Faux (c'est Bratislava)
953;Géographie;Capitales;ouverte;De quel pays Lisbonne est-elle la capitale ?;Portugal
954;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Pays de neige » ?;Yasunari Kawabata
955;Géographie;Capitales;vrai/faux;Vrai ou faux : Luanda est la capitale de Angola ?;Vrai
956;Géographie;Capitales;vrai/faux;Vrai ou faux : Khartoum est la capitale de Soudan ?;Vrai
957;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Jean-Paul Sartre ?;Huis clos
958;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Bombardement d'Hiroshima ?;1945
959;Théâtre & Danse;Pièces, opéras, ballets;vrai/faux;Vrai ou faux : Pièce de Beckett avec deux vagabonds — En attendant Godot ?;Vrai
960;Nature & Environnement;Faune, flore et climat;vrai/faux;Vrai ou faux : Événement climatique El Niño touche principalement quel océan ? — Pacifique ?;Vrai
961;Géographie;Capitales;vrai/faux;Vrai ou faux : Port-au-Prince est la capitale de Haïti ?;Vrai
962;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : Dynamite ?;Alfred Nobel
963;Géographie;Capitales;ouverte;Quelle est la capitale de Mongolie ?;Oulan-Bator
964;Nature & Environnement;Faune, flore et climat;ouverte;Nom du protocole international sur le climat (1997);Protocole de Kyoto
965;Droit & Justice;Institutions & textes;vrai/faux;Vrai ou faux : Première femme à présider la Cour européenne des droits de l'homme — Elisabeth Steiner ?;Vrai
966;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Honoré de Balzac ?;Le Père Goriot
967;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : L'habitus ?;Pierre Bourdieu
968;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Pologne est Tegucigalpa ?;Faux (c'est Varsovie)
969;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Équateur est Tbilissi ?;Faux (c'est Quito)
970;Géographie;Capitales;ouverte;De quel pays Téhéran est-elle la capitale ?;Iran
971;Géographie;Capitales;vrai/faux;Vrai ou faux : Rome est la capitale de Italie ?;Vrai
972;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Rayons X est associé(e) à Wilhelm Röntgen ?;Vrai
973;Géographie;Capitales;vrai/faux;Vrai ou faux : Pyongyang est la capitale de Corée du Nord ?;Vrai
974;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Art Fry ?;Post-it
975;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Germinal » ?;Émile Zola
976;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Couronnement de Charlemagne ?;800
977;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Qui a peint/sculpté « Le Cri » ?;Edvard Munch
978;Géographie;Capitales;vrai/faux;Vrai ou faux : New Delhi est la capitale de Inde ?;Vrai
979;Géographie;Capitales;ouverte;Quelle est la capitale de Brunei ?;Bandar Seri Begawan
980;Géographie;Capitales;ouverte;Quelle est la capitale de Trinité-et-Tobago ?;Port of Spain
981;Chronologies & Premières fois;Pionniers & records;vrai/faux;Vrai ou faux : Première encyclopédie collaborative en ligne majeure — Wikipedia (2001) ?;Vrai
982;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Papouasie-Nouvelle-Guinée est Port-Louis ?;Faux (c'est Port Moresby)
983;Géographie;Capitales;ouverte;De quel pays Panama est-elle la capitale ?;Panama
984;Médecine & Corps humain;Anatomie/Soins;vrai/faux;Vrai ou faux : Organe affecté par la cirrhose — Le foie ?;Vrai
985;Géographie;Capitales;vrai/faux;Vrai ou faux : Santiago est la capitale de Chili ?;Vrai
986;Musique;Œuvres, genres, artistes;vrai/faux;Vrai ou faux : Techno : ville de naissance du genre — Detroit ?;Vrai
987;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « L'Amie prodigieuse » ?;Elena Ferrante
988;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Pénicilline est associé(e) à Alexander Fleming ?;Vrai
989;Géographie;Capitales;ouverte;De quel pays Luxembourg est-elle la capitale ?;Luxembourg
990;Géographie;Capitales;ouverte;Quelle est la capitale de Philippines ?;Manille
991;Gastronomie;Plats & produits;ouverte;Pâte feuilletée garnie de pommes caramélisées;Tarte Tatin
992;Histoire;Dates clés;vrai/faux;Vrai ou faux : Révolution iranienne a eu lieu en 1979 ?;Vrai
993;Histoire;Dates clés;vrai/faux;Vrai ou faux : Chute de Constantinople a eu lieu en 1453 ?;Vrai
994;Nature & Environnement;Faune, flore et climat;ouverte;Cycle naturel de l'eau s'appelle;Cycle hydrologique
995;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Maurice est Nassau ?;Faux (c'est Port-Louis)
996;Sport;Records & événements;ouverte;Pays d'origine du sumo;Japon
997;Géographie;Capitales;ouverte;De quel pays Saint-Domingue est-elle la capitale ?;République dominicaine
998;Géographie;Capitales;ouverte;De quel pays Windhoek est-elle la capitale ?;Namibie
999;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Edvard Munch ?;Le Cri
1000;Géographie;Capitales;ouverte;De quel pays New Delhi est-elle la capitale ?;Inde
1001;Géographie;Capitales;ouverte;Quelle est la capitale de Tchéquie ?;Prague
1002;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Département de la Défense des États-Unis ?;GPS
1003;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Le Crime de l'Orient-Express » ?;Agatha Christie
1004;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de République dominicaine est Yamoussoukro ?;Faux (c'est Saint-Domingue)
1005;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Elena Ferrante ?;L'Amie prodigieuse
1006;Droit & Justice;Institutions & textes;ouverte;Institution qui contrôle la constitutionnalité des lois en France;Conseil constitutionnel
1007;Géographie;Capitales;vrai/faux;Vrai ou faux : Tokyo est la capitale de Japon ?;Vrai
1008;Histoire;Dates clés;vrai/faux;Vrai ou faux : Chute de l'Empire romain d'Occident a eu lieu en 476 ?;Vrai
1009;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Hamlet » ?;William Shakespeare
1010;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à H. G. Wells ?;La Guerre des mondes
1011;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : Ampoule électrique à filament ?;Thomas Edison
1012;Géographie;Capitales;ouverte;Quelle est la capitale de Seychelles ?;Victoria
1013;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Libye est Tokyo ?;Faux (c'est Tripoli)
1014;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Beloved » ?;Toni Morrison
1015;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Israël est Doha ?;Faux (c'est Jérusalem)
1016;Philosophie & Pensée;Concepts clés;vrai/faux;Vrai ou faux : Epicure est lié à L'ataraxie ?;Vrai
1017;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Jean de La Fontaine ?;Fables
1018;Histoire;Dates clés;vrai/faux;Vrai ou faux : Affichage des 95 thèses de Luther a eu lieu en 1517 ?;Vrai
1019;Géographie;Capitales;ouverte;Quelle est la capitale de Corée du Sud ?;Séoul
1020;Histoire;Dates clés;vrai/faux;Vrai ou faux : Création de l'ONU a eu lieu en 1945 ?;Vrai
1021;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : L'impératif catégorique ?;Immanuel Kant
1022;Cinéma & Séries;Films, prix, répliques;ouverte;Film d'animation japonais de Miyazaki sur une princesse et les esprits;Princesse Mononoké
1023;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Moby Dick » ?;Herman Melville
1024;Médecine & Corps humain;Anatomie/Soins;vrai/faux;Vrai ou faux : Médecin grec considéré comme le père de la médecine — Hippocrate ?;Vrai
1025;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « La Joconde » est de Leonard de Vinci ?;Vrai
1026;Géographie;Capitales;ouverte;De quel pays Naypyidaw est-elle la capitale ?;Myanmar
1027;Arts plastiques & Architecture;Œuvres emblématiques;ouverte;Quelle œuvre célèbre est associée à Georgia O'Keeffe ?;Jimson Weed
1028;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Le Rouge et le Noir » est de Stendhal ?;Vrai
1029;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Art Spiegelman ?;Maus
1030;Géographie;Capitales;ouverte;Quelle est la capitale de Panama ?;Panama
1031;Philosophie & Pensée;Concepts clés;ouverte;Quel philosophe associe-t-on à : L'empirisme ?;John Locke
1032;Sciences & Tech;Inventions;vrai/faux;Vrai ou faux : Velcro est associé(e) à George de Mestral ?;Vrai
1033;Géographie;Capitales;ouverte;De quel pays Amsterdam est-elle la capitale ?;Pays-Bas
1034;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1992 ?;Traité de Maastricht
1035;Technologies du quotidien;Objets & internet;vrai/faux;Vrai ou faux : Capacité minimale pour qu'une image soit considérée 'HD' (p) — 720 ?;Vrai
1036;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Jane Austen ?;Orgueil et Préjugés
1037;Technologies du quotidien;Objets & internet;ouverte;Capacité minimale pour qu'une image soit considérée 'HD' (p);720
1038;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Les Misérables » est de Victor Hugo ?;Vrai
1039;Géographie;Capitales;ouverte;Quelle est la capitale de Pologne ?;Varsovie
1040;Politique & Institutions;Chefs d'État & organisations;vrai/faux;Vrai ou faux : Chef d'État sud-africain libéré en 1990 et élu en 1994 — Nelson Mandela ?;Vrai
1041;Histoire;Dates clés;ouverte;Quel événement historique s'est produit en 1215 ?;Magna Carta signée en Angleterre
1042;Géographie;Capitales;ouverte;Quelle est la capitale de Paraguay ?;Asuncion
1043;Culture populaire;BD, mangas, jeux vidéo;ouverte;Jeu de cartes à collectionner avec Pikachu;Pokémon
1044;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Biélorussie est Tokyo ?;Faux (c'est Minsk)
1045;Géographie;Capitales;vrai/faux;Vrai ou faux : Libreville est la capitale de Gabon ?;Vrai
1046;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Yasunari Kawabata ?;Pays de neige
1047;Littérature;Œuvres et auteurs;vrai/faux;Vrai ou faux : « Le Seigneur des Anneaux » est de J. R. R. Tolkien ?;Vrai
1048;Politique & Institutions;Chefs d'État & organisations;vrai/faux;Vrai ou faux : Vote d'une loi par le peuple : processus appelé — Référendum ?;Vrai
1049;Géographie;Capitales;ouverte;Quelle est la capitale de Suède ?;Stockholm
1050;Musique;Œuvres, genres, artistes;vrai/faux;Vrai ou faux : Compositeur du 'Boléro' — Maurice Ravel ?;Vrai
1051;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Couronnement de Napoléon Ier ?;1804
1052;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Malaisie est Reykjavik ?;Faux (c'est Kuala Lumpur)
1053;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Thomas Edison ?;Ampoule électrique à filament
1054;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Indonésie est Bichkek ?;Faux (c'est Jakarta)
1055;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à George Orwell ?;1984
1056;Géographie;Capitales;ouverte;Quelle est la capitale de Arabie saoudite ?;Riyad
1057;Sport;Records & événements;ouverte;Nombre de points marqués par un essai au rugby;5
1058;Géographie;Capitales;vrai/faux;Vrai ou faux : Harare est la capitale de Zimbabwe ?;Vrai
1059;Géographie;Capitales;vrai/faux;Vrai ou faux : Guatemala est la capitale de Guatemala ?;Vrai
1060;Sport;Records & événements;vrai/faux;Vrai ou faux : Tournoi du Grand Chelem joué sur terre battue — Roland-Garros ?;Vrai
1061;Géographie;Capitales;vrai/faux;Vrai ou faux : Nassau est la capitale de Bahamas ?;Vrai
1062;Société & Médias;Réseaux, slogans, démographie;vrai/faux;Vrai ou faux : Nombre approximatif d'habitants sur Terre (2023) — 8 milliards ?;Vrai
1063;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à Damadian, Lauterbur, Mansfield ?;IRM (imagerie par résonance magnétique)
1064;Géographie;Capitales;ouverte;De quel pays Londres est-elle la capitale ?;Royaume-Uni
1065;Musique;Œuvres, genres, artistes;ouverte;Opéra 'La Traviata';Giuseppe Verdi
1066;Médecine & Corps humain;Anatomie/Soins;vrai/faux;Vrai ou faux : Nombre de chromosomes chez l'humain — 46 ?;Vrai
1067;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Danemark est Abou Dabi ?;Faux (c'est Copenhague)
1068;Géographie;Capitales;vrai/faux;Vrai ou faux : Kiev est la capitale de Ukraine ?;Vrai
1069;Nature & Environnement;Faune, flore et climat;vrai/faux;Vrai ou faux : Nom du protocole international sur le climat (1997) — Protocole de Kyoto ?;Vrai
1070;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Angola est Ouagadougou ?;Faux (c'est Luanda)
1071;Musique;Œuvres, genres, artistes;ouverte;Chanteuse de 'Like a Prayer';Madonna
1072;Géographie;Capitales;vrai/faux;Vrai ou faux : Sofia est la capitale de Bulgarie ?;Vrai
1073;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Autriche est Kigali ?;Faux (c'est Vienne)
1074;Musique;Œuvres, genres, artistes;ouverte;Rappeur auteur de 'Illmatic';Nas
1075;Société & Médias;Réseaux, slogans, démographie;ouverte;Plateforme de microblogging créée en 2006;Twitter
1076;Géographie;Capitales;ouverte;Quelle est la capitale de Qatar ?;Doha
1077;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Isaac Asimov ?;Fondation
1078;Géographie;Capitales;ouverte;De quel pays Oulan-Bator est-elle la capitale ?;Mongolie
1079;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : Photographie ?;Nicéphore Niépce
1080;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Référendum sur le Brexit ?;2016
1081;Histoire;Dates clés;vrai/faux;Vrai ou faux : Déclaration universelle des droits de l'homme a eu lieu en 1948 ?;Vrai
1082;Gastronomie;Plats & produits;ouverte;Cuisine indienne : pain plat cuit au tandoor;Naan
1083;Politique & Institutions;Chefs d'État & organisations;vrai/faux;Vrai ou faux : Texte suprême des États-Unis — Constitution des États-Unis ?;Vrai
1084;Histoire;Dates clés;ouverte;En quelle année a eu lieu : Indépendance de l'Inde ?;1947
1085;Sport;Records & événements;vrai/faux;Vrai ou faux : Lieu du Super Bowl LIII (2019) — Atlanta ?;Vrai
1086;Géographie;Capitales;ouverte;Quelle est la capitale de Irak ?;Bagdad
1087;Médecine & Corps humain;Anatomie/Soins;ouverte;Antidote de l'intoxication aux opioïdes;Naloxone
1088;Géographie;Capitales;ouverte;Quelle est la capitale de Ghana ?;Accra
1089;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « Les Deux Fridas » est de Frida Kahlo ?;Vrai
1090;Géographie;Capitales;ouverte;De quel pays Séoul est-elle la capitale ?;Corée du Sud
1091;Littérature;Œuvres et auteurs;ouverte;Qui a écrit « Les Origines du totalitarisme » ?;Hannah Arendt
1092;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Canada est Podgorica ?;Faux (c'est Ottawa)
1093;Sciences & Tech;Inventions;ouverte;Quelle invention/découverte est associée à John Bardeen, William Shockley et Walter Brattain ?;Transistor
1094;Littérature;Œuvres et auteurs;ouverte;Quelle œuvre majeure doit-on à Paulo Coelho ?;L'Alchimiste
1095;Géographie;Capitales;vrai/faux;Vrai ou faux : La capitale de Suède est Managua ?;Faux (c'est Stockholm)
1096;Sciences & Tech;Inventions;ouverte;Qui a inventé/découvert : Transistor ?;John Bardeen, William Shockley et Walter Brattain
1097;Économie & Finance;Concepts & crises;ouverte;Monnaie unique de la zone euro;Euro
1098;Arts plastiques & Architecture;Œuvres emblématiques;vrai/faux;Vrai ou faux : « Carré noir » est de Kazimir Malevitch ?;Vrai
1099;Technologies du quotidien;Objets & internet;ouverte;Système d'exploitation mobile de Google;Android
